date,hour,ridership
2020-08-15,14,65059
2020-08-15,15,67706
2020-08-15,16,65514
2020-08-15,17,61104
2020-08-15,18,52662
2020-08-15,19,45819
2020-08-15,20,38167
2020-08-15,21,27279
2020-08-15,22,25639
2020-08-15,23,21940
2020-08-16,0,8951
2020-08-16,1,17
2020-08-16,2,10
2020-08-16,3,6
2020-08-16,4,1817
2020-08-16,5,10526
2020-08-16,6,19024
2020-08-16,7,24169
2020-08-16,8,25611
2020-08-16,9,26821
2020-08-16,10,28668
2020-08-16,11,29398
2020-08-16,12,32148
2020-08-16,13,37186
2020-08-16,14,40641
2020-08-16,15,42259
2020-08-16,16,41139
2020-08-16,17,37320
2020-08-16,18,35454
2020-08-16,19,30205
2020-08-16,20,24575
2020-08-16,21,21077
2020-08-16,22,19125
2020-08-16,23,14832
2020-08-17,0,4941
2020-08-17,1,20
2020-08-17,2,4
2020-08-17,3,12
2020-08-17,4,6442
2020-08-17,5,47521
2020-08-17,6,81730
2020-08-17,7,100261
2020-08-17,8,96397
2020-08-17,9,66836
2020-08-17,10,55576
2020-08-17,11,53715
2020-08-17,12,59039
2020-08-17,13,68238
2020-08-17,14,81520
2020-08-17,15,104047
2020-08-17,16,119545
2020-08-17,17,117131
2020-08-17,18,79212
2020-08-17,19,54178
2020-08-17,20,39546
2020-08-17,21,26714
2020-08-17,22,22563
2020-08-17,23,17650
2020-08-18,0,5679
2020-08-18,1,12
2020-08-18,2,16
2020-08-18,3,22
2020-08-18,4,6881
2020-08-18,5,48386
2020-08-18,6,85232
2020-08-18,7,105036
2020-08-18,8,99202
2020-08-18,9,70110
2020-08-18,10,57757
2020-08-18,11,55549
2020-08-18,12,61095
2020-08-18,13,71511
2020-08-18,14,84834
2020-08-18,15,108084
2020-08-18,16,122678
2020-08-18,17,120097
2020-08-18,18,86005
2020-08-18,19,58863
2020-08-18,20,43359
2020-08-18,21,30646
2020-08-18,22,26290
