date,ridership
2024-08-27,3529133
2024-08-28,3576943
2024-08-29,3532006
2024-08-30,3268407
2024-08-31,2336758
2024-09-01,1984482
2024-09-02,2034187
2024-09-03,3671658
2024-09-04,3911321
2024-09-05,4074329
2024-09-06,3832386
2024-09-07,2494720
2024-09-08,2114775
2024-09-09,3849856
2024-09-10,4224235
2024-09-11,4256262
2024-09-12,4273962
2024-09-13,3948526
2024-09-14,2719077
2024-09-15,2175341
2024-09-16,3859561
2024-09-17,4230478
2024-09-18,4274302
2024-09-19,4296085
2024-09-20,3970222
2024-09-21,2758006
2024-09-22,2147216
2024-09-23,3938490
2024-09-24,4366301
2024-09-25,4378207
2024-09-26,4337385
2024-09-27,3981492
2024-09-28,2572321
2024-09-29,1974746
2024-09-30,3887460
2024-10-01,4230277
2024-10-02,4117029
2024-10-03,3673168
2024-10-04,3545581
2024-10-05,2729591
2024-10-06,2083483
2024-10-07,3890342
2024-10-08,4305496
2024-10-09,4360742
2024-10-10,4376349
2024-10-11,3908584
2024-10-12,2605384
2024-10-13,2169275
2024-10-14,3104979
2024-10-15,4331498
2024-10-16,4404605
2024-10-17,4355456
2024-10-18,4070988
2024-10-19,2833866
2024-10-20,2222126
2024-10-21,3912003
2024-10-22,4303405
2024-10-23,4337395
2024-10-24,4358823
2024-10-25,4061366
2024-10-26,2851259
2024-10-27,2230225
2024-10-28,4027035
2024-10-29,4428821
2024-10-30,4481837
2024-10-31,4405569
2024-11-01,3824861
2024-11-02,2836113
2024-11-03,2620841
2024-11-04,3993231
2024-11-05,3685782
2024-11-06,4159945
2024-11-07,4279903
2024-11-08,4015021
2024-11-09,2791667
2024-11-10,2135916
2024-11-11,3311986
2024-11-12,4309876
2024-11-13,4378105
2024-11-14,4342593
2024-11-15,4028563
2024-11-16,2809679
2024-11-17,2121325
2024-11-18,3944168
2024-11-19,4323971
2024-11-20,4345200
